text,label
"ISRO successfully launches a new communication satellite into orbit",REAL
"Scientists discover water ice on the surface of Mars",REAL
"India announces new AI mission for digital transformation",REAL
"NASA confirms upcoming lunar base construction plans",REAL
"World Health Organization warns about new virus strain",REAL
"Government introduces new education policy for students",REAL
"Tesla announces breakthrough in electric battery technology",REAL
"Researchers develop new cancer treatment with high success rate",REAL
"Stock markets rise after positive global economic signals",REAL
"SpaceX successfully completes another rocket landing test",REAL

"Aliens land in Rajasthan and meet local villagers",FAKE
"Drinking hot water cures all diseases instantly",FAKE
"Mobile phones secretly control human thoughts",FAKE
"Chocolate consumption increases human lifespan by 50 years",FAKE
"Scientists confirm Earth is flat in new study",FAKE
"Government bans sleep for productivity improvement",FAKE
"NASA confirms time travel machine is ready for humans",FAKE
"Using lemon water makes you invisible",FAKE
"All diseases can be cured by listening to music",FAKE
"People can fly after eating special herbs",FAKE
